,URL,ID,Name,Company code,Marketcap,Share price,Earnings,Revenue,Shares,Employees,Category,Hash
871,https://companiesmarketcap.com/guardant-health/marketcap/,610.0,Guardant Health,GH,$3.11 B,$30.43,-$0.59 B,$0.43 B,,1.373,Telecommunicationsequipment,-8592063776107010306
872,https://companiesmarketcap.com/guardant-health/marketcap/,610.0,Guardant Health,GH,$3.11 B,$30.43,-$0.59 B,$0.43 B,,1.373,Tech,5392941245537608590
873,https://companiesmarketcap.com/guardant-health/marketcap/,610.0,Guardant Health,GH,$3.11 B,$30.43,-$0.59 B,$0.43 B,,1.373,TechHardware,-5791872359498690370
874,https://companiesmarketcap.com/desktop-metal/marketcap/,612.0,Desktop Metal,DM,$0.57 B,$1.82,-$0.48 B,$0.20 B,,1.37,Steelproducers,4242005143441865998
875,https://companiesmarketcap.com/desktop-metal/marketcap/,612.0,Desktop Metal,DM,$0.57 B,$1.82,-$0.48 B,$0.20 B,,1.37,Steelindustry,-54470019612759297
876,https://companiesmarketcap.com/zovio/marketcap/,614.0,Zovio,ZVO,$3.17 M,$0.09280,-$48.89 M,$0.19 B,,1.365,MediaPress,-6159643471181631199
877,https://companiesmarketcap.com/microvast/marketcap/,615.0,Microvast,MVST,$0.54 B,$1.76,-$0.17 B,$0.20 B,,1.359,OilGas,7683904390150838630
878,https://companiesmarketcap.com/microvast/marketcap/,615.0,Microvast,MVST,$0.54 B,$1.76,-$0.17 B,$0.20 B,,1.359,Transportation,-2725400413481745490
879,https://companiesmarketcap.com/microvast/marketcap/,615.0,Microvast,MVST,$0.54 B,$1.76,-$0.17 B,$0.20 B,,1.359,Infrastructure,7432902716785306754
880,https://companiesmarketcap.com/microvast/marketcap/,615.0,Microvast,MVST,$0.54 B,$1.76,-$0.17 B,$0.20 B,,1.359,Energy,-2882595272621617431
881,https://companiesmarketcap.com/balchem/marketcap/,616.0,Balchem,BCPC,$4.19 B,$130.41,$0.14 B,$0.92 B,,1.359,Banks,-3731527361154377479
882,https://companiesmarketcap.com/balchem/marketcap/,616.0,Balchem,BCPC,$4.19 B,$130.41,$0.14 B,$0.92 B,,1.359,Financialservices,3247786743286756867
883,https://companiesmarketcap.com/destination-xl/marketcap/,619.0,Destination XL,DXLG,$0.43 B,$6.99,$58.13 M,$0.53 B,,1.353,Financialservices,3247786743286756867
884,https://companiesmarketcap.com/graftech/marketcap/,620.0,GrafTech,EAF,$1.46 B,$5.69,$0.59 B,$1.39 B,,1.353,Automakers,-2133819116979903276
885,https://companiesmarketcap.com/graftech/marketcap/,620.0,GrafTech,EAF,$1.46 B,$5.69,$0.59 B,$1.39 B,,1.353,Manufacturing,2771886960464485094
886,https://companiesmarketcap.com/graftech/marketcap/,620.0,GrafTech,EAF,$1.46 B,$5.69,$0.59 B,$1.39 B,,1.353,ElectricVehicles,7306870937902693610
887,https://companiesmarketcap.com/adtran/marketcap/,627.0,ADTRAN,ADTN,$1.54 B,$19.85,-$53.75 M,$0.82 B,,1.335,Energy,-2882595272621617431
888,https://companiesmarketcap.com/adtran/marketcap/,627.0,ADTRAN,ADTN,$1.54 B,$19.85,-$53.75 M,$0.82 B,,1.335,Electricity,-800801453892895456
889,https://companiesmarketcap.com/adtran/marketcap/,627.0,ADTRAN,ADTN,$1.54 B,$19.85,-$53.75 M,$0.82 B,,1.335,Utilitycompanies,-7880188492962909296
890,https://companiesmarketcap.com/helix-energy-solutions/marketcap/,629.0,Helix Energy Solutions,HLX,$1.20 B,$7.93,-$91.78 M,$0.75 B,,1.327,Financialservices,3247786743286756867
891,https://companiesmarketcap.com/verra-mobility/marketcap/,630.0,Verra Mobility,VRRM,$2.18 B,$14.55,$0.12 B,$0.72 B,,1.306,Entertainment,6852268802481802111
892,https://companiesmarketcap.com/chesapeake-energy/marketcap/,631.0,Chesapeake Energy,CHK,$12.21 B,$91.21,$3.00 B,$10.40 B,121.150.000,1.3,Insurance,-2611088800210967206
893,https://companiesmarketcap.com/vertex/marketcap/,632.0,Vertex,VERX,$1.85 B,$12.36,-$6.11 M,$0.47 B,,1.3,Pharmaceuticals,5380718181721596073
894,https://companiesmarketcap.com/vertex/marketcap/,632.0,Vertex,VERX,$1.85 B,$12.36,-$6.11 M,$0.47 B,,1.3,Packaging,1415757590594131741
895,https://companiesmarketcap.com/artivion/marketcap/,633.0,Artivion,AORT,$0.51 B,$12.78,-$34.35 M,$0.31 B,,1.3,Software,6273975210915946900
896,https://companiesmarketcap.com/artivion/marketcap/,633.0,Artivion,AORT,$0.51 B,$12.78,-$34.35 M,$0.31 B,,1.3,Tech,5392941245537608590
897,https://companiesmarketcap.com/nlight/marketcap/,634.0,nLIGHT,LASR,$0.54 B,$11.98,-$40.25 M,$0.25 B,,1.3,Restaurantchains,-8690128616648987675
898,https://companiesmarketcap.com/nlight/marketcap/,634.0,nLIGHT,LASR,$0.54 B,$11.98,-$40.25 M,$0.25 B,,1.3,Food,4721068128442604370
899,https://companiesmarketcap.com/landstar-system/marketcap/,635.0,Landstar System,LSTR,$6.10 B,$169.88,$0.59 B,$7.70 B,35.925.265,1.3,MedicalCareFacilities,-1383796583637029543
900,https://companiesmarketcap.com/landstar-system/marketcap/,635.0,Landstar System,LSTR,$6.10 B,$169.88,$0.59 B,$7.70 B,35.925.265,1.3,Healthcare,1473658128705581606
901,https://companiesmarketcap.com/information-services-group/marketcap/,636.0,Information Services Group,III,$0.24 B,$5.20,$29.82 M,$0.28 B,,1.3,Entertainment,6852268802481802111
902,https://companiesmarketcap.com/information-services-group/marketcap/,636.0,Information Services Group,III,$0.24 B,$5.20,$29.82 M,$0.28 B,,1.3,Gambling,-2553870588303058339
903,https://companiesmarketcap.com/instructure-holdings/marketcap/,642.0,Instructure Holdings,INST,$3.61 B,$25.39,-$47.47 M,$0.46 B,,1.283,Alcoholicbeverages,-7749993172415088463
904,https://companiesmarketcap.com/instructure-holdings/marketcap/,642.0,Instructure Holdings,INST,$3.61 B,$25.39,-$47.47 M,$0.46 B,,1.283,Beverages,-5284870312286199973
905,https://companiesmarketcap.com/comscore/marketcap/,643.0,Comscore,SCOR,$0.12 B,$1.40,-$62.3 M,$0.37 B,,1.274,Buildingmaterials,6318092696281818196
906,https://companiesmarketcap.com/funko/marketcap/,649.0,Funko,FNKO,$0.56 B,$12.07,$67.32 M,$1.32 B,,1.242,Realestate,5170806780538916196
907,https://companiesmarketcap.com/funko/marketcap/,649.0,Funko,FNKO,$0.56 B,$12.07,$67.32 M,$1.32 B,,1.242,REITs,-5778598063774395952
908,https://companiesmarketcap.com/funko/marketcap/,649.0,Funko,FNKO,$0.56 B,$12.07,$67.32 M,$1.32 B,,1.242,Investment,-3683647381629899485
909,https://companiesmarketcap.com/invitation-homes/marketcap/,650.0,Invitation Homes,INVH,$19.16 B,$31.21,$0.35 B,$2.17 B,610.845.820,1.24,Airlines,-6287371891685245861
910,https://companiesmarketcap.com/invitation-homes/marketcap/,650.0,Invitation Homes,INVH,$19.16 B,$31.21,$0.35 B,$2.17 B,610.845.820,1.24,Travel,458727220244788973
911,https://companiesmarketcap.com/invitation-homes/marketcap/,650.0,Invitation Homes,INVH,$19.16 B,$31.21,$0.35 B,$2.17 B,610.845.820,1.24,Transportation,-2725400413481745490
912,https://companiesmarketcap.com/goosehead-insurance/marketcap/,652.0,Goosehead Insurance,GSHD,$1.44 B,$37.14,$5.53 M,$0.19 B,,1.238,Software,6273975210915946900
913,https://companiesmarketcap.com/goosehead-insurance/marketcap/,652.0,Goosehead Insurance,GSHD,$1.44 B,$37.14,$5.53 M,$0.19 B,,1.238,Electronics,-4280093456798597290
914,https://companiesmarketcap.com/goosehead-insurance/marketcap/,652.0,Goosehead Insurance,GSHD,$1.44 B,$37.14,$5.53 M,$0.19 B,,1.238,Tech,5392941245537608590
915,https://companiesmarketcap.com/goosehead-insurance/marketcap/,652.0,Goosehead Insurance,GSHD,$1.44 B,$37.14,$5.53 M,$0.19 B,,1.238,TechHardware,-5791872359498690370
916,https://companiesmarketcap.com/nw-natural/marketcap/,653.0,NW Natural,NWN,$1.74 B,$49.58,$0.15 B,$0.95 B,,1.237,Investment,-3683647381629899485
917,https://companiesmarketcap.com/shift-technologies/marketcap/,654.0,Shift Technologies,SFT,$37.05 M,$0.22,-$0.23 B,$0.80 B,,1.232,Videogames,7351854534314693888
918,https://companiesmarketcap.com/shift-technologies/marketcap/,654.0,Shift Technologies,SFT,$37.05 M,$0.22,-$0.23 B,$0.80 B,,1.232,Esports,2732967412084140002
919,https://companiesmarketcap.com/shift-technologies/marketcap/,654.0,Shift Technologies,SFT,$37.05 M,$0.22,-$0.23 B,$0.80 B,,1.232,Entertainment,6852268802481802111
920,https://companiesmarketcap.com/shift-technologies/marketcap/,654.0,Shift Technologies,SFT,$37.05 M,$0.22,-$0.23 B,$0.80 B,,1.232,Tech,5392941245537608590
921,https://companiesmarketcap.com/berry-corporation/marketcap/,655.0,Berry Corporation,BRY,$0.66 B,$8.66,$0.23 B,$1.03 B,,1.224,Energy,-2882595272621617431
922,https://companiesmarketcap.com/berry-corporation/marketcap/,655.0,Berry Corporation,BRY,$0.66 B,$8.66,$0.23 B,$1.03 B,,1.224,OilGas,7683904390150838630
923,https://companiesmarketcap.com/udr-apartments/marketcap/,656.0,UDR Apartments,UDR,$21.91 B,$40.15,$0.33 B,$1.46 B,324.701.000,1.219,Medicaldevices,-2500090628927350323
924,https://companiesmarketcap.com/vimeo/marketcap/,657.0,Vimeo,VMEO,$0.63 B,$3.83,-$96.24 M,$0.43 B,,1.219,Financialservices,3247786743286756867
925,https://companiesmarketcap.com/contextlogic/marketcap/,658.0,ContextLogic (wish.com),WISH,$0.47 B,$0.65,-$0.35 B,$0.73 B,,1.218,Restaurantchains,-8690128616648987675
926,https://companiesmarketcap.com/contextlogic/marketcap/,658.0,ContextLogic (wish.com),WISH,$0.47 B,$0.65,-$0.35 B,$0.73 B,,1.218,Food,4721068128442604370
927,https://companiesmarketcap.com/legalzoom/marketcap/,659.0,LegalZoom,LZ,$1.59 B,$8.27,-$73.39 M,$0.61 B,,1.218,Realestate,5170806780538916196
928,https://companiesmarketcap.com/csi/marketcap/,660.0,CSI,CSVI,$1.59 B,$57.98,$77.55 M,$0.32 B,,1.215,Clothing,-4012403625881737752
929,https://companiesmarketcap.com/csi/marketcap/,660.0,CSI,CSVI,$1.59 B,$57.98,$77.55 M,$0.32 B,,1.215,Retail,2932210656109287952
930,https://companiesmarketcap.com/exponent/marketcap/,661.0,Exponent,EXPO,$5.13 B,$101.45,$0.13 B,$0.49 B,,1.215,Pharmaceuticals,5380718181721596073
931,https://companiesmarketcap.com/exponent/marketcap/,661.0,Exponent,EXPO,$5.13 B,$101.45,$0.13 B,$0.49 B,,1.215,Biotech,-6437318974046106094
932,https://companiesmarketcap.com/dream-finders-homes/marketcap/,663.0,Dream Finders Homes,DFH,$0.94 B,$10.16,$0.31 B,$3.09 B,,1.212,Financialservices,3247786743286756867
933,https://companiesmarketcap.com/cargurus/marketcap/,664.0,CarGurus,CARG,$1.93 B,$16.27,$0.12 B,$1.70 B,,1.203,Education,-2647921079241484351
